icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,price
896530,FDB9YD,United Arab Emirates,1767007113.0,1767007113,20.5462,44.7131,1120.14,False,88.14,300.91,-0.33,,1181.1,0512,False,0,107.41803765917537
4ac9e9,SAS780,Sweden,1767007113.0,1767007113,12.7262,54.969,3863.34,False,153.44,340.41,-5.2,,3787.14,7362,False,0,160.09428036383844
8007b3,IGO540C,India,1767007114.0,1767007114,77.2656,28.91,3215.64,False,143.9,274.1,11.05,,3291.84,0500,False,0,141.86834838353082
020057,RAM972C,Morocco,1767006910.0,1767006918,-3.5589,40.468,525.78,False,62.67,322.0,-0.33,,647.7,6424,False,0,91.18509343933457
4ca911,RYR9267,Ireland,1767007114.0,1767007114,5.7695,51.8321,10965.18,False,218.26,224.62,-2.6,,11010.9,0730,False,0,278.07781299138816
7c4a01,FD608,Australia,1767007114.0,1767007114,116.2446,-32.8162,5791.2,False,124.87,150.37,0.0,,6035.04,7234,False,0,150.97741845114308
896536,ETD79,United Arab Emirates,1767007112.0,1767007114,53.0465,25.8985,8077.2,False,197.76,294.43,7.15,,8290.56,1705,False,0,260.0042475949254
896534,ETD79H,United Arab Emirates,1767007113.0,1767007113,15.5566,35.7991,11269.98,False,278.01,95.42,0.0,,11384.28,,False,0,300.87603735431475
a44ca0,DAL2441,United States,1767007113.0,1767007113,-85.4025,37.9673,9662.16,False,185.94,209.69,5.53,,9692.64,,False,0,240.27339245889695
896533,FDB914,United Arab Emirates,1767007113.0,1767007113,55.5684,25.2427,1173.48,False,105.19,122.21,-3.25,,1165.86,4552,False,0,128.41788846513114
896539,ETD19N,United Arab Emirates,1767007088.0,1767007112,49.5621,27.8949,11582.4,False,204.31,321.54,-0.33,,11963.4,3451,False,0,276.45332262527
896537,ETD123,United Arab Emirates,1767007087.0,1767007112,53.2921,25.7331,7924.8,False,209.17,318.39,-0.33,,8176.26,1742,False,0,255.4103326782649
a53975,AAL2889,United States,1767007113.0,1767007114,-86.7171,30.0794,10050.78,False,262.55,129.99,0.33,,10485.12,6605,False,0,291.86868330403655
4ac9f3,SAS72C,Sweden,1767007113.0,1767007114,9.7481,55.1171,11894.82,False,232.84,48.31,-0.98,,11711.94,3131,False,0,271.2906525071912
4ac9f5,SAS793,Sweden,1767007114.0,1767007114,11.8999,47.3755,11879.58,False,227.65,201.75,0.0,,11910.06,5243,False,0,290.155670504122
